Mirror,GSUB,0
DecomposeForColor,GSUB,1
_FontCheck_Unknow,GSUB,2
_FontCheck_n,GSUB,3
FontCheck,GSUB,4
_ReorderMaddaVowel1,GSUB,5
ReorderMaddaVowel1,GSUB,6
_ReorderMaddaVowel2,GSUB,7
ReorderMaddaVowel2,GSUB,8
SmallMadda,GSUB,9
LatinPunctuation,GSUB,10
ltrFina,GSUB,11
ltrMedi,GSUB,12
ltrInit,GSUB,13
_AllahSub_Alef,GSUB,14
_AllahSub_Lam1,GSUB,15
_AllahSub_Lam2,GSUB,16
_AllahSub_Lam2_insertSA,GSUB,17
_AllahSub_Heh,GSUB,18
_AllahSub_Shadda_insertA,GSUB,19
AllahLigatures,GSUB,20
ComposeLowHamzaAbove,GSUB,21
_LigateHamzaMarks,GSUB,22
HamzaLigatures,GSUB,23
ShaddaLigatures,GSUB,24
MeemMarkLigatures,GSUB,25
dfltCALT,GSUB,26
KashmiriCALT,GSUB,27
KurdishCALT,GSUB,28
KyrgyzCALT,GSUB,29
RohingyaCALT,GSUB,30
SindhiCALT,GSUB,31
UrduCALT,GSUB,32
WolofCALT,GSUB,33
KasraLowTT,GSUB,34
KasraHighTT,GSUB,35
DaggerAlefToLarge,GSUB,36
DalAlternateTT,GSUB,37
DalSimpleTT,GSUB,38
DalAlternate,GSUB,39
SadDadAlternate,GSUB,40
MeemSindhiTT,GSUB,41
MeemLongTT,GSUB,42
MeemAlternate,GSUB,43
KurdishHehTT,GSUB,44
SindhiHehTT,GSUB,45
UrduHehTT,GSUB,46
HehAlternates,GSUB,47
KurdishHehDoTT,GSUB,48
BowtieHehDoTT,GSUB,49
KnottedHehDoTT,GSUB,50
HehDoAlternates,GSUB,51
KyrgyzOeAlternates,GSUB,52
YehHamzaRightTT,GSUB,53
YehHamzaMidTT,GSUB,54
YehHamzaAlternates,GSUB,55
MaddaAlternate,GSUB,56
KasraAlternates,GSUB,58
DammaFilledTT,GSUB,59
DammaShortTT,GSUB,60
DammaCrossedTT,GSUB,61
DammaAlternates,GSUB,62
DammatanSixNineTT,GSUB,63
DammatanTwoNineTT,GSUB,64
DammatanAlternate,GSUB,65
DammaInvertedAlternates,GSUB,66
DaggerAlefAlternates,GSUB,67
SukunDownTT,GSUB,68
SukunLeftTT,GSUB,69
SukunClosedTT,GSUB,70
SukunAlternates,GSUB,71
AyahAlternates,GSUB,72
HonLigAlternates,GSUB,73
DigitSindhiTT,GSUB,74
DigitUrduTT,GSUB,75
DigitKurdishTT,GSUB,76
DigitRohingyaTT,GSUB,77
DigitDefaultTT,GSUB,78
DigitAlternates,GSUB,79
CommaAlternates,GSUB,80
DecimalSepAlternate,GSUB,81
ShaddaKasraLigatures,GSUB,82
DaggerAlefFixup,GSUB,83
LamAlefLigatures,GSUB,85
AllahAlef,GSUB,86
_signWith_4digits,GSUB,88
_signWith_3digits,GSUB,89
_signWith_2digits,GSUB,90
_signDigits_ToMedium,GSUB,91
_signDigits_ToSmall,GSUB,92
SignWithDigits,GSUB,93
_InsertKashida,GSUB,94
_Insert2Kashidas,GSUB,95
_InsertKashidaBefore,GSUB,96
_Insert2KashidasBefore,GSUB,97
ToothKashidasIM,GSUB,98
ToothKashidasMM,GSUB,99
ToothKashidasIMF,GSUB,100
MiscKashidas,GSUB,101
MarkKashidas,GSUB,102
WideKashida,GSUB,103
_kern50,GPOS,0
_kern70,GPOS,1
_kern90,GPOS,2
_kern100,GPOS,3
_kern130,GPOS,4
_kern140,GPOS,5
_kern150,GPOS,6
_kern170,GPOS,7
_kern215,GPOS,8
_kern290,GPOS,9
_kern_190,GPOS,10
_kern_215,GPOS,11
_kern_290,GPOS,12
_kern_300,GPOS,13
_kern_380,GPOS,14
_kern_410,GPOS,15
_kern_550,GPOS,16
_kern_580,GPOS,17
RehWawKerning1,GPOS,18
RehWawKerning,GPOS,19
LamAlefKerning,GPOS,20
AlefMarksAbove,GPOS,21
MiscKerning,GPOS,30
MiscKerningWDiacs,GPOS,31
_kkern_40,GPOS,32
_kkern_60,GPOS,33
_kkern_80,GPOS,34
_kkern_100,GPOS,35
_kkern_120,GPOS,36
_kkern_140,GPOS,37
_kkern_160,GPOS,38
_kkern_180,GPOS,39
_kkern_240,GPOS,40
ToothKashidaKerningIM,GPOS,41
ToothKashidaKerningMM,GPOS,42
ToothKashidaKerningIMF,GPOS,43
MiscKashidaKerning,GPOS,44
SubtendingMarks,GPOS,45
MarkToBase,GPOS,112
AlefToBase,GPOS,113
MarkToLig,GPOS,114
_mark2_to_base,GPOS,115
LamAlefMark2Adjust,GPOS,116
MarkToMarkAbove,GPOS,117
MarkToMarkBelow,GPOS,118
DiacShifting,GPOS,119
