glyph_name,usv,base,above,below,center
kafTwodotsverticalbelow-ar,10EC4,kaf-ar,,_dot2v,
kafTwodotsverticalbelow-ar.fina,,kaf-ar.fina,,_dot2v,
kafTwodotsverticalbelow-ar.medi,,kaf-ar.medi,,_dot2v,
kafTwodotsverticalbelow-ar.init,,kaf-ar.init,,_dot2v,
tahTwodotsverticalbelow-ar,10EC3,tah-ar,,_dot2v,
tahTwodotsverticalbelow-ar.fina,,tah-ar.fina,,_dot2v,
tahTwodotsverticalbelow-ar.medi,,tah-ar.medi,,_dot2v,
tahTwodotsverticalbelow-ar.init,,tah-ar.init,,_dot2v,
dalTwodotsverticalbelow-ar,10EC2,dal-ar,,_dot2v,
dalTwodotsverticalbelow-ar.fina,,dal-ar.fina,,_dot2v,
dalTwodotsverticalbelow-ar.loclWLF,,dal-ar.loclWLF,,_dot2v,
dalTwodotsverticalbelow-ar.fina.loclWLF,,dal-ar.fina.loclWLF,,_dot2v,
